number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,6,15,OPEN,1711189593000,46.554703,15.652826
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,6,15,OPEN,1711189593000,46.554703,15.652826
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,19,2,OPEN,1711210991000,46.554703,15.652826
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,19,2,OPEN,1711210991000,46.554703,15.652826
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,19,2,OPEN,1711210991000,46.554703,15.652826
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,20,1,OPEN,1711211065000,46.554703,15.652826
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,20,1,OPEN,1711211065000,46.554703,15.652826
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,20,1,OPEN,1711211065000,46.554703,15.652826
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,5,16,OPEN,1711219923000,46.554703,15.652826
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,5,16,OPEN,1711219923000,46.554703,15.652826
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,5,16,OPEN,1711219923000,46.554703,15.652826
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,5,16,OPEN,1711219923000,46.554703,15.652826
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,5,16,OPEN,1711219923000,46.554703,15.652826
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,5,16,OPEN,1711219923000,46.554703,15.652826
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,5,16,OPEN,1711219923000,46.554703,15.652826
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,5,16,OPEN,1711219923000,46.554703,15.652826
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,False,False,21,6,15,OPEN,1711222347000,46.554703,15.652826
