number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,16,4,OPEN,1711189245000,46.542655,15.634329
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,15,5,OPEN,1711189709000,46.542655,15.634329
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,16,4,OPEN,1711210442000,46.542655,15.634329
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,16,4,OPEN,1711210442000,46.542655,15.634329
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,16,4,OPEN,1711210442000,46.542655,15.634329
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,16,4,OPEN,1711211047000,46.542655,15.634329
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,16,4,OPEN,1711211047000,46.542655,15.634329
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,16,4,OPEN,1711211047000,46.542655,15.634329
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,18,2,OPEN,1711220134000,46.542655,15.634329
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,18,2,OPEN,1711220134000,46.542655,15.634329
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,18,2,OPEN,1711220134000,46.542655,15.634329
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,18,2,OPEN,1711220134000,46.542655,15.634329
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,18,2,OPEN,1711220134000,46.542655,15.634329
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,18,2,OPEN,1711220134000,46.542655,15.634329
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,18,2,OPEN,1711220134000,46.542655,15.634329
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,18,2,OPEN,1711220134000,46.542655,15.634329
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,18,2,OPEN,1711222557000,46.542655,15.634329
