number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,17,3,OPEN,1711189500000,46.56196,15.650235
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,17,3,OPEN,1711189500000,46.56196,15.650235
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,20,0,OPEN,1711210700000,46.56196,15.650235
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,20,0,OPEN,1711210700000,46.56196,15.650235
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,20,0,OPEN,1711210700000,46.56196,15.650235
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,20,0,OPEN,1711210700000,46.56196,15.650235
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,20,0,OPEN,1711210700000,46.56196,15.650235
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,20,0,OPEN,1711210700000,46.56196,15.650235
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,19,1,OPEN,1711220391000,46.56196,15.650235
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,19,1,OPEN,1711220391000,46.56196,15.650235
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,19,1,OPEN,1711220391000,46.56196,15.650235
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,19,1,OPEN,1711220391000,46.56196,15.650235
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,19,1,OPEN,1711220391000,46.56196,15.650235
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,19,1,OPEN,1711220391000,46.56196,15.650235
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,19,1,OPEN,1711220391000,46.56196,15.650235
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,19,1,OPEN,1711220391000,46.56196,15.650235
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,19,1,OPEN,1711222208000,46.56196,15.650235
