number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,20,0,OPEN,1711189497000,46.548853,15.645591
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,20,0,OPEN,1711189497000,46.548853,15.645591
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,16,4,OPEN,1711210694000,46.548853,15.645591
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,16,4,OPEN,1711210694000,46.548853,15.645591
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,16,4,OPEN,1711210694000,46.548853,15.645591
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,16,4,OPEN,1711210694000,46.548853,15.645591
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,16,4,OPEN,1711210694000,46.548853,15.645591
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,16,4,OPEN,1711210694000,46.548853,15.645591
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,15,5,OPEN,1711220390000,46.548853,15.645591
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,15,5,OPEN,1711220390000,46.548853,15.645591
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,15,5,OPEN,1711220390000,46.548853,15.645591
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,15,5,OPEN,1711220390000,46.548853,15.645591
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,15,5,OPEN,1711220390000,46.548853,15.645591
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,15,5,OPEN,1711220390000,46.548853,15.645591
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,15,5,OPEN,1711220390000,46.548853,15.645591
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,15,5,OPEN,1711220390000,46.548853,15.645591
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,False,False,20,15,5,OPEN,1711222208000,46.548853,15.645591
