number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,3,17,OPEN,1711189134000,46.554741,15.659814
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,3,17,OPEN,1711189134000,46.554741,15.659814
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,3,17,OPEN,1711210933000,46.554741,15.659814
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,3,17,OPEN,1711210933000,46.554741,15.659814
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,3,17,OPEN,1711210933000,46.554741,15.659814
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,3,17,OPEN,1711210933000,46.554741,15.659814
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,3,17,OPEN,1711210933000,46.554741,15.659814
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,3,17,OPEN,1711210933000,46.554741,15.659814
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,0,20,OPEN,1711220013000,46.554741,15.659814
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,0,20,OPEN,1711220013000,46.554741,15.659814
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,0,20,OPEN,1711220013000,46.554741,15.659814
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,0,20,OPEN,1711220013000,46.554741,15.659814
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,0,20,OPEN,1711220013000,46.554741,15.659814
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,0,20,OPEN,1711220013000,46.554741,15.659814
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,0,20,OPEN,1711220013000,46.554741,15.659814
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,0,20,OPEN,1711220013000,46.554741,15.659814
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,0,20,OPEN,1711222435000,46.554741,15.659814
