number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude
29,maribor,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,11,9,OPEN,1711189018000,46.556534,15.647629
29,maribor,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,11,9,OPEN,1711189623000,46.556534,15.647629
29,maribor,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,15,5,OPEN,1711210767000,46.556534,15.647629
29,maribor,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,15,5,OPEN,1711210767000,46.556534,15.647629
29,maribor,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,15,5,OPEN,1711210767000,46.556534,15.647629
29,maribor,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,15,5,OPEN,1711210767000,46.556534,15.647629
29,maribor,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,15,5,OPEN,1711210767000,46.556534,15.647629
29,maribor,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,15,5,OPEN,1711210767000,46.556534,15.647629
29,maribor,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,15,5,OPEN,1711219845000,46.556534,15.647629
29,maribor,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,15,5,OPEN,1711219845000,46.556534,15.647629
29,maribor,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,15,5,OPEN,1711219845000,46.556534,15.647629
29,maribor,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,15,5,OPEN,1711219845000,46.556534,15.647629
29,maribor,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,15,5,OPEN,1711219845000,46.556534,15.647629
29,maribor,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,15,5,OPEN,1711219845000,46.556534,15.647629
29,maribor,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,15,5,OPEN,1711220450000,46.556534,15.647629
29,maribor,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,15,5,OPEN,1711220450000,46.556534,15.647629
29,maribor,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,15,5,OPEN,1711222266000,46.556534,15.647629
