number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,8,12,OPEN,1711189559000,46.565603,15.623133
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,8,12,OPEN,1711189559000,46.565603,15.623133
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,12,8,OPEN,1711210783000,46.565603,15.623133
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,12,8,OPEN,1711210783000,46.565603,15.623133
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,12,8,OPEN,1711210783000,46.565603,15.623133
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,12,8,OPEN,1711210783000,46.565603,15.623133
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,12,8,OPEN,1711210783000,46.565603,15.623133
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,12,8,OPEN,1711210783000,46.565603,15.623133
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,15,5,OPEN,1711219872000,46.565603,15.623133
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,15,5,OPEN,1711219872000,46.565603,15.623133
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,15,5,OPEN,1711219872000,46.565603,15.623133
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,15,5,OPEN,1711219872000,46.565603,15.623133
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,15,5,OPEN,1711219872000,46.565603,15.623133
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,15,5,OPEN,1711219872000,46.565603,15.623133
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,15,5,OPEN,1711220477000,46.565603,15.623133
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,15,5,OPEN,1711220477000,46.565603,15.623133
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,15,5,OPEN,1711222292000,46.565603,15.623133
