number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,False,False,20,16,4,OPEN,1711189489000,46.553109,15.624098
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,False,False,20,16,4,OPEN,1711189489000,46.553109,15.624098
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,False,False,20,18,2,OPEN,1711210922000,46.553109,15.624098
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,False,False,20,18,2,OPEN,1711210922000,46.553109,15.624098
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,False,False,20,18,2,OPEN,1711210922000,46.553109,15.624098
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,False,False,20,18,2,OPEN,1711210922000,46.553109,15.624098
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,False,False,20,18,2,OPEN,1711210922000,46.553109,15.624098
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,False,False,20,18,2,OPEN,1711210922000,46.553109,15.624098
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,False,False,20,15,5,OPEN,1711220385000,46.553109,15.624098
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,False,False,20,15,5,OPEN,1711220385000,46.553109,15.624098
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,False,False,20,15,5,OPEN,1711220385000,46.553109,15.624098
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,False,False,20,15,5,OPEN,1711220385000,46.553109,15.624098
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,False,False,20,15,5,OPEN,1711220385000,46.553109,15.624098
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,False,False,20,15,5,OPEN,1711220385000,46.553109,15.624098
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,False,False,20,15,5,OPEN,1711220385000,46.553109,15.624098
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,False,False,20,15,5,OPEN,1711220385000,46.553109,15.624098
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,False,False,20,15,5,OPEN,1711222200000,46.553109,15.624098
