number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude
19,maribor,LIDL - TITOVA C.,Titova cesta 15,False,False,20,2,18,OPEN,1711189485000,46.551963,15.651564
19,maribor,LIDL - TITOVA C.,Titova cesta 15,False,False,20,2,18,OPEN,1711189485000,46.551963,15.651564
19,maribor,LIDL - TITOVA C.,Titova cesta 15,False,False,20,1,19,OPEN,1711210673000,46.551963,15.651564
19,maribor,LIDL - TITOVA C.,Titova cesta 15,False,False,20,1,19,OPEN,1711210673000,46.551963,15.651564
19,maribor,LIDL - TITOVA C.,Titova cesta 15,False,False,20,1,19,OPEN,1711210673000,46.551963,15.651564
19,maribor,LIDL - TITOVA C.,Titova cesta 15,False,False,20,1,19,OPEN,1711210673000,46.551963,15.651564
19,maribor,LIDL - TITOVA C.,Titova cesta 15,False,False,20,1,19,OPEN,1711210673000,46.551963,15.651564
19,maribor,LIDL - TITOVA C.,Titova cesta 15,False,False,20,1,19,OPEN,1711210673000,46.551963,15.651564
19,maribor,LIDL - TITOVA C.,Titova cesta 15,False,False,20,0,20,OPEN,1711220362000,46.551963,15.651564
19,maribor,LIDL - TITOVA C.,Titova cesta 15,False,False,20,0,20,OPEN,1711220362000,46.551963,15.651564
19,maribor,LIDL - TITOVA C.,Titova cesta 15,False,False,20,0,20,OPEN,1711220362000,46.551963,15.651564
19,maribor,LIDL - TITOVA C.,Titova cesta 15,False,False,20,0,20,OPEN,1711220362000,46.551963,15.651564
19,maribor,LIDL - TITOVA C.,Titova cesta 15,False,False,20,0,20,OPEN,1711220362000,46.551963,15.651564
19,maribor,LIDL - TITOVA C.,Titova cesta 15,False,False,20,0,20,OPEN,1711220362000,46.551963,15.651564
19,maribor,LIDL - TITOVA C.,Titova cesta 15,False,False,20,0,20,OPEN,1711220362000,46.551963,15.651564
19,maribor,LIDL - TITOVA C.,Titova cesta 15,False,False,20,0,20,OPEN,1711220362000,46.551963,15.651564
19,maribor,LIDL - TITOVA C.,Titova cesta 15,False,False,20,0,20,OPEN,1711222178000,46.551963,15.651564
