number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,9,11,OPEN,1711189494000,46.558519,15.649072
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,9,11,OPEN,1711189494000,46.558519,15.649072
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,6,14,OPEN,1711210768000,46.558519,15.649072
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,6,14,OPEN,1711210768000,46.558519,15.649072
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,6,14,OPEN,1711210768000,46.558519,15.649072
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,6,14,OPEN,1711210768000,46.558519,15.649072
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,6,14,OPEN,1711210768000,46.558519,15.649072
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,6,14,OPEN,1711210768000,46.558519,15.649072
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,5,15,OPEN,1711220425000,46.558519,15.649072
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,5,15,OPEN,1711220425000,46.558519,15.649072
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,5,15,OPEN,1711220425000,46.558519,15.649072
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,5,15,OPEN,1711220425000,46.558519,15.649072
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,5,15,OPEN,1711220425000,46.558519,15.649072
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,5,15,OPEN,1711220425000,46.558519,15.649072
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,5,15,OPEN,1711220425000,46.558519,15.649072
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,5,15,OPEN,1711220425000,46.558519,15.649072
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,False,False,20,6,14,OPEN,1711222246000,46.558519,15.649072
