number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,17,3,OPEN,1711189506000,46.559319,15.63498
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,18,2,OPEN,1711189715000,46.559319,15.63498
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,19,1,OPEN,1711210709000,46.559319,15.63498
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,19,1,OPEN,1711210709000,46.559319,15.63498
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,19,1,OPEN,1711210709000,46.559319,15.63498
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,19,1,OPEN,1711210709000,46.559319,15.63498
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,19,1,OPEN,1711210709000,46.559319,15.63498
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,19,1,OPEN,1711210709000,46.559319,15.63498
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,9,11,OPEN,1711220408000,46.559319,15.63498
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,9,11,OPEN,1711220408000,46.559319,15.63498
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,9,11,OPEN,1711220408000,46.559319,15.63498
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,9,11,OPEN,1711220408000,46.559319,15.63498
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,9,11,OPEN,1711220408000,46.559319,15.63498
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,9,11,OPEN,1711220408000,46.559319,15.63498
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,9,11,OPEN,1711220408000,46.559319,15.63498
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,9,11,OPEN,1711220408000,46.559319,15.63498
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,10,10,OPEN,1711222224000,46.559319,15.63498
