number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,9,11,OPEN,1711189147000,46.54199,15.63831
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,9,11,OPEN,1711189147000,46.54199,15.63831
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,8,12,OPEN,1711210971000,46.54199,15.63831
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,8,12,OPEN,1711210971000,46.54199,15.63831
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,8,12,OPEN,1711210971000,46.54199,15.63831
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,8,12,OPEN,1711210971000,46.54199,15.63831
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,8,12,OPEN,1711210971000,46.54199,15.63831
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,8,12,OPEN,1711210971000,46.54199,15.63831
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,12,8,OPEN,1711220064000,46.54199,15.63831
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,12,8,OPEN,1711220064000,46.54199,15.63831
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,12,8,OPEN,1711220064000,46.54199,15.63831
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,12,8,OPEN,1711220064000,46.54199,15.63831
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,12,8,OPEN,1711220064000,46.54199,15.63831
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,12,8,OPEN,1711220064000,46.54199,15.63831
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,12,8,OPEN,1711220064000,46.54199,15.63831
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,12,8,OPEN,1711220064000,46.54199,15.63831
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,12,8,OPEN,1711222484000,46.54199,15.63831
