number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,6,14,OPEN,1711189503000,46.56056,15.652935
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,6,14,OPEN,1711189503000,46.56056,15.652935
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,1,19,OPEN,1711210976000,46.56056,15.652935
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,1,19,OPEN,1711210976000,46.56056,15.652935
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,1,19,OPEN,1711210976000,46.56056,15.652935
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,2,18,OPEN,1711211024000,46.56056,15.652935
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,2,18,OPEN,1711211024000,46.56056,15.652935
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,2,18,OPEN,1711211024000,46.56056,15.652935
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,1,19,OPEN,1711220405000,46.56056,15.652935
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,1,19,OPEN,1711220405000,46.56056,15.652935
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,1,19,OPEN,1711220405000,46.56056,15.652935
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,1,19,OPEN,1711220405000,46.56056,15.652935
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,1,19,OPEN,1711220405000,46.56056,15.652935
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,1,19,OPEN,1711220405000,46.56056,15.652935
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,1,19,OPEN,1711220405000,46.56056,15.652935
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,1,19,OPEN,1711220405000,46.56056,15.652935
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,1,19,OPEN,1711222222000,46.56056,15.652935
