available_bike_stands
4
4
3
2
13
15
5
11
15
5
12
16
15
15
15
15
15
15
15
8
0
9
1
0
7
7
8
14
20
13
2
13
20
13
12
14
19
19
19
18
18
17
15
9
13
12
13
15
14
5
13
17
13
14
6
2
3
15
17
17
20
19
19
20
19
15
17
16
11
4
3
4
6
5
1
2
0
7
12
20
20
20
20
19
20
15
17
20
14
15
14
14
3
1
5
11
10
11
12
9
13
14
14
19
19
13
13
16
18
18
19
18
19
16
14
9
5
6
4
4
6
5
6
7
8
8
8
10
9
14
16
14
13
13
10
9
9
10
3
0
14
7
6
0
16
4
15
10
10
10
10
7
10
9
12
14
16
16
16
16
14
8
2
17
16
16
16
17
19
20
11
9
10
13
14
10
13
18
18
18
19
19
19
15
6
2
13
18
13
12
11
20
19
20
15
8
14
12
18
19
20
20
18
19
19
19
20
18
17
13
15
14
16
12
19
17
17
9
4
3
0
2
6
11
15
15
15
15
13
13
11
10
9
10
6
5
4
7
7
