available_bike_stands
8
7
3
9
19
14
16
6
1
2
4
5
3
7
7
7
6
6
8
11
0
1
8
0
3
6
4
12
14
18
18
20
17
14
13
17
18
18
18
18
18
20
14
15
10
4
6
15
17
17
18
17
10
16
12
0
4
16
19
20
20
20
20
20
18
20
20
17
20
20
18
19
15
20
17
19
18
20
9
11
13
14
14
14
13
13
12
12
6
7
6
7
5
8
7
4
3
3
2
1
3
8
20
17
16
16
12
20
18
20
20
18
16
17
18
11
8
0
9
10
11
13
18
15
15
17
17
18
20
20
20
17
18
17
15
15
15
17
17
15
5
6
2
1
0
16
16
18
17
9
13
12
13
17
19
20
20
18
18
18
15
10
5
4
3
1
10
9
6
3
7
9
3
8
8
7
6
7
8
8
7
8
8
5
17
14
10
5
12
18
17
19
15
10
11
5
2
9
8
6
7
10
10
10
10
10
10
12
13
15
11
7
7
14
13
12
18
18
15
20
12
11
11
12
14
13
13
13
18
19
18
14
14
11
6
9
8
8
3
