available_bike_stands
20
20
15
14
15
13
10
9
8
10
10
9
7
9
9
9
9
9
9
15
19
19
13
16
16
13
6
7
5
3
6
1
2
3
3
2
1
1
1
1
1
2
4
13
16
12
13
13
8
3
0
0
9
12
11
12
13
13
10
8
8
8
7
7
8
9
10
5
8
7
5
2
6
5
6
13
15
15
14
10
12
12
11
13
11
14
14
19
20
20
20
19
20
19
12
13
15
14
14
11
8
13
13
9
7
6
4
4
2
2
2
2
2
2
1
5
12
16
16
16
16
14
14
13
12
11
13
14
11
9
9
9
9
9
8
8
8
7
10
14
18
19
20
19
12
10
8
7
4
4
8
5
6
6
5
5
5
5
5
4
9
16
11
11
11
14
6
10
10
9
7
9
9
8
8
5
4
5
5
4
4
4
5
7
14
13
14
14
13
9
8
8
7
3
0
4
5
1
0
0
0
0
0
0
0
0
1
1
1
1
6
6
4
1
6
4
1
0
1
3
9
9
7
5
3
2
2
2
2
3
3
4
5
2
2
2
3
3
2
